id,lnw,exper,ged,postexp,black,hispanic,hgc,hgc.9,uerate,ue.7,ue.centert1,ue.mean,ue.person.cen,ue1
31,1.491,0.015,1,0.015,0,1,8,-1,3.21,-3.785,0.000,3.21,0.000,3.21
31,1.433,0.715,1,0.715,0,1,8,-1,3.21,-3.785,0.000,3.21,0.000,3.21
31,1.469,1.734,1,1.734,0,1,8,-1,3.21,-3.785,0.000,3.21,0.000,3.21
31,1.749,2.773,1,2.773,0,1,8,-1,3.30,-3.705,0.080,3.21,0.080,3.21
31,1.931,3.927,1,3.927,0,1,8,-1,2.89,-4.105,-0.320,3.21,-0.320,3.21
31,1.709,4.946,1,4.946,0,1,8,-1,2.49,-4.505,-0.720,3.21,-0.720,3.21
31,2.086,5.965,1,5.965,0,1,8,-1,2.60,-4.405,-0.620,3.21,-0.620,3.21
31,2.129,6.984,1,6.984,0,1,8,-1,4.80,-2.205,1.580,3.21,1.580,3.21
36,1.982,0.315,1,0.315,0,0,9,0,4.89,-2.105,0.000,5.10,-0.201,4.89
36,1.798,0.983,1,0.983,0,0,9,0,7.40,0.400,2.505,5.10,2.303,4.89
36,2.256,2.040,1,2.040,0,0,9,0,7.40,0.400,2.505,5.10,2.303,4.89
36,2.573,3.021,1,3.021,0,0,9,0,5.30,-1.705,0.400,5.10,0.199,4.89
36,1.819,4.021,1,4.021,0,0,9,0,4.49,-2.505,-0.400,5.10,-0.601,4.89
36,2.928,5.521,1,5.521,0,0,9,0,2.89,-4.105,-2.000,5.10,-2.201,4.89
36,2.443,6.733,1,6.733,0,0,9,0,2.60,-4.405,-2.300,5.10,-2.501,4.89
36,2.825,7.906,1,7.906,0,0,9,0,2.60,-4.405,-2.300,5.10,-2.501,4.89
36,2.303,8.848,1,8.848,0,0,9,0,5.80,-1.205,0.900,5.10,0.698,4.89
36,2.329,9.598,1,9.598,0,0,9,0,7.60,0.600,2.705,5.10,2.503,4.89
53,1.763,0.781,0,0.000,0,1,7,-2,5.59,-1.405,0.000,4.43,1.163,5.59
53,1.538,0.943,0,0.000,0,1,7,-2,6.70,-0.305,1.100,4.43,2.263,5.59
53,3.242,0.957,1,0.000,0,1,7,-2,4.89,-2.105,-0.700,4.43,0.463,5.59
53,1.596,1.037,1,0.080,0,1,7,-2,4.99,-2.005,-0.600,4.43,0.562,5.59
53,1.566,1.057,1,0.100,0,1,7,-2,3.80,-3.205,NA,4.43,-0.637,5.59
53,1.882,1.110,1,0.152,0,1,7,-2,3.49,-3.505,-2.100,4.43,-0.938,5.59
53,1.890,1.185,1,0.227,0,1,7,-2,2.80,-4.205,-2.800,4.43,-1.638,5.59
53,1.660,1.777,1,0.820,0,1,7,-2,3.19,-3.805,-2.400,4.43,-1.237,5.59
122,2.115,2.038,0,0.000,0,0,12,3,8.40,1.400,0.000,5.30,3.104,8.40
122,2.921,2.638,0,0.000,0,0,12,3,8.10,1.100,NA,5.30,2.804,8.40
122,1.919,3.658,0,0.000,0,0,12,3,6.39,-0.605,-2.005,5.30,1.099,8.40
122,0.763,4.638,0,0.000,0,0,12,3,4.99,-2.005,-3.405,5.30,-0.301,8.40
122,2.443,5.831,0,0.000,0,0,12,3,4.09,-2.905,-4.305,5.30,-1.201,8.40
122,2.180,6.715,0,0.000,0,0,12,3,3.60,-3.405,-4.805,5.30,-1.701,8.40
122,2.138,8.158,0,0.000,0,0,12,3,2.80,NA,-5.605,5.30,-2.501,8.40
122,2.199,9.100,0,0.000,0,0,12,3,3.19,-3.805,-5.205,5.30,-2.101,8.40
122,2.337,10.350,0,0.000,0,0,12,3,5.20,-1.805,-3.205,5.30,-0.101,8.40
122,2.668,11.081,0,0.000,0,0,12,3,6.20,-0.805,-2.205,5.30,0.899,8.40
134,2.004,0.192,0,0.000,0,0,11,2,5.80,-1.205,0.000,5.72,0.074,5.80
134,2.099,0.972,0,0.000,0,0,11,2,5.49,NA,-0.300,5.72,-0.226,5.80
134,2.323,1.934,0,0.000,0,0,11,2,6.09,-0.905,0.300,5.72,0.374,5.80
134,2.387,2.953,0,0.000,0,0,11,2,8.40,1.400,2.605,5.72,2.679,5.80
134,2.263,3.915,1,0.000,0,0,11,2,8.10,1.100,2.305,5.72,2.379,5.80
134,2.326,4.635,1,0.720,0,0,11,2,6.39,-0.605,0.600,5.72,0.674,5.80
134,2.298,5.635,1,1.720,0,0,11,2,5.89,-1.105,0.100,5.72,0.174,5.80
134,2.666,6.750,1,2.835,0,0,11,2,5.09,-1.905,-0.700,5.72,-0.626,5.80
134,2.806,8.250,1,4.335,0,0,11,2,2.80,-4.205,-3.000,5.72,-2.926,5.80
134,2.927,9.019,1,5.105,0,0,11,2,3.19,-3.805,-2.600,5.72,-2.526,5.80
134,2.931,10.038,1,6.124,0,0,11,2,5.20,-1.805,-0.600,5.72,-0.526,5.80
134,2.764,10.818,1,6.904,0,0,11,2,6.20,-0.805,0.400,5.72,0.474,5.80
145,1.562,0.235,0,0.000,0,0,10,1,8.40,1.400,0.000,5.20,3.204,8.40
145,1.476,0.828,1,0.473,0,0,10,1,6.39,-0.605,-2.005,5.20,1.199,8.40
145,1.596,1.828,1,1.473,0,0,10,1,5.89,-1.105,-2.505,5.20,0.699,8.40
145,1.885,2.488,1,2.133,0,0,10,1,5.09,-1.905,-3.305,5.20,-0.101,8.40
145,2.036,3.699,1,3.344,0,0,10,1,3.60,-3.405,-4.805,5.20,-1.601,8.40
145,1.771,4.776,1,4.421,0,0,10,1,2.80,-4.205,-5.605,5.20,-2.401,8.40
145,1.878,5.641,1,5.286,0,0,10,1,3.19,-3.805,-5.205,5.20,-2.001,8.40
145,1.753,6.680,1,6.325,0,0,10,1,5.20,-1.805,-3.205,5.20,-0.001,8.40
145,1.906,7.100,1,6.745,0,0,10,1,6.20,-0.805,-2.205,5.20,0.999,8.40
155,1.776,0.985,0,0.000,0,0,9,0,6.70,-0.305,0.000,6.87,-0.179,6.70
155,2.078,2.023,0,0.000,0,0,9,0,6.70,-0.305,0.000,6.87,-0.179,6.70
155,1.535,2.966,0,0.000,0,0,9,0,12.60,5.600,5.905,6.87,5.726,6.70
155,2.162,3.834,0,0.000,0,0,9,0,4.89,-2.105,-1.800,6.87,-1.979,6.70
155,2.320,4.563,0,0.000,0,0,9,0,13.60,6.600,6.905,6.87,6.726,6.70
155,1.727,5.717,0,0.000,0,0,9,0,6.87,-0.126,0.179,6.87,0.000,6.70
155,2.219,7.140,0,0.000,0,0,9,0,6.87,-0.126,0.179,6.87,0.000,6.70
155,2.461,7.967,0,0.000,0,0,9,0,2.80,-4.205,-3.900,6.87,-4.079,6.70
155,2.333,8.937,0,0.000,0,0,9,0,3.19,-3.805,-3.500,6.87,-3.679,6.70
155,2.612,9.707,0,0.000,0,0,9,0,5.20,-1.805,NA,6.87,-1.679,6.70
155,2.637,10.437,0,0.000,0,0,9,0,6.20,-0.805,-0.500,6.87,-0.679,6.70
173,1.559,0.188,0,0.000,0,0,9,0,5.49,-1.505,0.000,6.08,-0.585,5.49
173,1.693,0.800,0,0.000,0,0,9,0,7.90,0.900,2.405,6.08,1.820,5.49
173,1.976,2.184,0,0.000,0,0,9,0,8.20,1.200,2.705,6.08,2.120,5.49
173,2.027,4.454,0,0.000,0,0,9,0,4.20,-2.805,NA,6.08,-1.885,5.49
173,2.016,5.377,0,0.000,0,0,9,0,4.49,NA,-1.000,6.08,-1.585,5.49
173,2.335,6.396,0,0.000,0,0,9,0,6.20,-0.805,0.700,6.08,0.115,5.49
206,2.028,1.874,0,0.000,0,0,10,1,9.20,2.200,0.000,8.83,0.368,9.20
206,2.297,2.814,0,0.000,0,0,10,1,11.00,4.000,1.800,8.83,2.168,9.20
206,2.482,4.314,0,0.000,0,0,10,1,6.30,-0.705,NA,8.83,-2.537,9.20
207,1.580,0.525,0,0.000,0,0,8,-1,9.60,NA,0.000,7.42,2.184,9.60
207,1.749,1.679,0,0.000,0,0,8,-1,9.20,2.200,-0.400,7.42,1.784,9.60
207,1.931,2.698,0,0.000,0,0,8,-1,11.00,4.000,1.400,7.42,3.584,9.60
207,1.863,3.460,0,0.000,0,0,8,-1,8.40,1.400,-1.200,7.42,0.984,9.60
207,2.224,4.498,0,0.000,0,0,8,-1,8.20,1.200,-1.400,7.42,0.784,9.60
207,2.052,5.460,0,0.000,0,0,8,-1,7.30,0.300,-2.300,7.42,-0.116,9.60
207,2.155,6.690,0,0.000,0,0,8,-1,5.39,-1.605,-4.205,7.42,-2.021,9.60
207,2.177,7.729,0,0.000,0,0,8,-1,4.20,-2.805,-5.405,7.42,-3.221,9.60
207,2.576,8.609,0,0.000,0,0,8,-1,4.49,-2.505,-5.105,7.42,-2.921,9.60
207,2.659,9.441,0,0.000,0,0,8,-1,6.20,-0.805,NA,7.42,-1.221,9.60
207,2.263,10.307,0,0.000,0,0,8,-1,7.60,0.600,-2.000,7.42,0.184,9.60
222,3.456,0.013,0,0.000,1,0,9,0,8.00,1.000,0.000,6.28,1.717,8.00
222,1.314,0.529,0,0.000,1,0,9,0,8.40,1.400,0.400,6.28,2.117,8.00
222,1.515,0.804,0,0.000,1,0,9,0,7.30,0.300,-0.700,6.28,1.017,8.00
222,1.635,1.161,0,0.000,1,0,9,0,5.39,-1.605,-2.605,6.28,-0.888,8.00
222,1.707,1.973,0,0.000,1,0,9,0,4.20,-2.805,-3.805,6.28,-2.088,8.00
222,1.555,2.240,0,0.000,1,0,9,0,4.49,-2.505,-3.505,6.28,-1.788,8.00
222,1.792,2.768,0,0.000,1,0,9,0,6.20,-0.805,-1.805,6.28,-0.088,8.00
223,1.749,0.864,0,0.000,1,0,8,-1,9.20,2.200,0.000,6.18,3.020,9.20
223,1.563,1.806,0,0.000,1,0,8,-1,6.18,-0.820,-3.020,6.18,0.000,9.20
223,1.510,2.883,0,0.000,1,0,8,-1,6.18,-0.820,-3.020,6.18,0.000,9.20
223,1.765,4.076,0,0.000,1,0,8,-1,6.18,-0.820,-3.020,6.18,0.000,9.20
223,1.627,4.968,0,0.000,1,0,8,-1,6.18,-0.820,-3.020,6.18,0.000,9.20
223,2.534,5.896,0,0.000,1,0,8,-1,5.39,-1.605,-3.805,6.18,-0.785,9.20
223,1.830,7.146,0,0.000,1,0,8,-1,4.20,-2.805,-5.005,6.18,-1.985,9.20
223,2.130,8.031,0,0.000,1,0,8,-1,4.49,-2.505,-4.705,6.18,-1.685,9.20
223,2.140,9.031,0,0.000,1,0,8,-1,6.20,-0.805,-3.005,6.18,0.015,9.20
223,2.185,9.877,0,0.000,1,0,8,-1,7.60,0.600,-1.600,6.18,1.420,9.20
226,1.540,0.625,0,0.000,0,1,8,-1,9.60,2.600,0.000,6.20,3.403,9.60
226,0.927,0.755,1,0.090,0,1,8,-1,7.30,0.300,-2.300,6.20,1.103,9.60
226,2.008,1.858,1,1.193,0,1,8,-1,5.39,-1.605,-4.205,6.20,-0.802,9.60
226,1.890,2.978,1,2.313,0,1,8,-1,4.20,-2.805,-5.405,6.20,-2.002,9.60
226,1.997,3.418,1,2.753,0,1,8,-1,4.49,-2.505,-5.105,6.20,-1.702,9.60
234,1.571,1.096,1,1.096,0,0,9,0,9.60,2.600,0.000,8.03,1.574,9.60
234,1.535,2.346,1,2.346,0,0,9,0,13.60,6.600,4.000,8.03,5.574,9.60
234,1.675,3.358,1,3.358,0,0,9,0,8.80,1.800,-0.800,8.03,0.774,9.60
234,1.873,4.416,1,4.416,0,0,9,0,6.39,-0.605,-3.205,8.03,-1.631,9.60
234,1.707,5.916,1,5.916,0,0,9,0,5.49,-1.505,-4.105,8.03,-2.531,9.60
234,1.558,7.416,1,7.416,0,0,9,0,4.99,-2.005,-4.605,8.03,-3.031,9.60
234,2.005,8.358,1,8.358,0,0,9,0,7.30,0.300,-2.300,8.03,-0.726,9.60
241,1.517,0.364,1,0.000,0,0,7,-2,12.10,5.100,0.000,8.62,3.476,12.10
241,1.381,1.460,1,1.096,0,0,7,-2,13.60,6.600,1.500,8.62,4.976,12.10
241,1.856,2.402,1,2.038,0,0,7,-2,10.00,3.000,-2.100,8.62,1.376,12.10
241,2.001,3.422,1,3.058,0,0,7,-2,8.10,1.100,-4.000,8.62,-0.524,12.10
241,2.665,4.441,1,4.077,0,0,7,-2,4.59,-2.405,-7.505,8.62,-4.029,12.10
241,2.200,5.537,1,5.173,0,0,7,-2,7.50,NA,-4.600,8.62,-1.124,12.10
241,1.707,7.018,1,6.654,0,0,7,-2,6.20,-0.805,-5.905,8.62,-2.429,12.10
241,2.066,7.749,1,7.385,0,0,7,-2,6.90,-0.100,-5.200,8.62,-1.724,12.10
248,1.964,0.505,0,0.000,0,0,8,-1,8.80,1.800,NA,7.92,0.882,8.80
248,1.470,0.755,1,0.210,0,0,8,-1,13.60,6.600,4.800,7.92,5.682,8.80
248,1.449,1.150,1,0.605,0,0,8,-1,10.00,NA,1.200,7.92,2.082,8.80
248,2.224,1.400,1,0.855,0,0,8,-1,8.10,1.100,-0.700,7.92,0.182,8.80
248,2.259,2.477,1,1.932,0,0,8,-1,8.80,1.800,0.000,7.92,0.882,8.80
248,2.124,3.938,1,3.393,0,0,8,-1,6.39,-0.605,NA,7.92,-1.523,8.80
248,1.484,5.054,1,4.509,0,0,8,-1,5.49,-1.505,-3.305,7.92,-2.423,8.80
248,1.364,5.845,1,5.300,0,0,8,-1,5.70,-1.305,-3.105,7.92,-2.223,8.80
248,2.015,6.540,1,5.995,0,0,8,-1,4.99,-2.005,-3.805,7.92,-2.923,8.80
248,1.752,7.617,1,7.072,0,0,8,-1,7.30,0.300,-1.500,7.92,-0.618,8.80
253,1.526,0.123,0,0.000,0,0,8,-1,6.39,-0.605,NA,5.98,0.419,6.39
253,2.153,0.587,0,0.000,0,0,8,-1,5.49,-1.505,-0.900,5.98,-0.481,6.39
253,1.997,1.182,0,0.000,0,0,8,-1,5.70,-1.305,-0.700,5.98,-0.281,6.39
253,1.946,1.829,0,0.000,0,0,8,-1,4.99,-2.005,-1.400,5.98,-0.981,6.39
253,1.906,2.387,0,0.000,0,0,8,-1,7.30,0.300,0.905,5.98,1.324,6.39
266,1.808,0.322,1,0.182,0,0,9,0,8.80,1.800,0.000,8.80,0.000,8.80
295,1.789,2.026,0,0.000,0,0,9,0,5.59,-1.405,0.000,4.91,0.680,5.59
295,1.807,3.122,0,0.000,0,0,9,0,4.59,-2.405,-1.000,4.91,-0.320,5.59
295,2.113,4.157,0,0.000,0,0,9,0,4.30,-2.705,-1.300,4.91,-0.620,5.59
295,2.130,5.080,0,0.000,0,0,9,0,3.39,-3.605,-2.200,4.91,-1.520,5.59
295,2.312,6.580,0,0.000,0,0,9,0,6.70,-0.305,NA,4.91,1.780,5.59
299,1.638,0.580,0,0.000,0,1,7,-2,9.60,2.600,0.000,5.77,3.826,9.60
299,1.620,0.900,0,0.000,0,1,7,-2,7.20,0.200,-2.400,5.77,1.426,9.60
299,1.656,1.958,0,0.000,0,1,7,-2,6.20,-0.805,-3.405,5.77,0.421,9.60
299,1.738,2.996,0,0.000,0,1,7,-2,5.59,-1.405,-4.005,5.77,-0.179,9.60
299,1.749,4.216,0,0.000,0,1,7,-2,4.59,-2.405,-5.005,5.77,-1.179,9.60
299,1.545,4.336,0,0.000,0,1,7,-2,4.30,-2.705,-5.305,5.77,-1.479,9.60
299,1.555,4.376,0,0.000,0,1,7,-2,3.39,-3.605,-6.205,5.77,-2.379,9.60
299,1.792,4.716,0,0.000,0,1,7,-2,4.39,-2.605,-5.205,5.77,-1.379,9.60
299,1.570,5.716,0,0.000,0,1,7,-2,6.70,-0.305,-2.905,5.77,0.921,9.60
304,1.842,0.580,0,0.000,0,1,8,-1,3.39,-3.605,0.000,3.39,0.000,3.39
313,1.576,0.320,0,0.000,0,0,9,0,9.00,2.000,0.000,6.10,2.904,9.00
313,1.535,0.565,0,0.000,0,0,9,0,9.60,2.600,0.600,6.10,3.503,9.00
313,1.568,1.065,0,0.000,0,0,9,0,7.20,0.200,-1.800,6.10,1.104,9.00
313,1.819,2.065,0,0.000,0,0,9,0,6.20,-0.805,-2.805,6.10,0.098,9.00
313,1.929,3.219,0,0.000,0,0,9,0,5.59,-1.405,-3.405,6.10,-0.502,9.00
313,2.036,4.238,0,0.000,0,0,9,0,4.59,-2.405,-4.405,6.10,-1.502,9.00
313,2.295,5.680,0,0.000,0,0,9,0,4.30,-2.705,-4.705,6.10,-1.801,9.00
313,2.248,6.623,0,0.000,0,0,9,0,3.39,-3.605,-5.605,6.10,-2.701,9.00
313,2.526,7.603,0,0.000,0,0,9,0,4.39,-2.605,-4.605,6.10,-1.702,9.00
313,2.384,8.507,0,0.000,0,0,9,0,6.70,-0.305,-2.305,6.10,0.599,9.00
315,1.556,0.998,0,0.000,0,0,10,1,7.10,NA,0.000,6.22,0.878,7.10
315,1.913,2.132,0,0.000,0,0,10,1,9.00,2.000,1.900,6.22,2.778,7.10
315,1.052,2.882,0,0.000,0,0,10,1,9.60,2.600,2.500,6.22,3.378,7.10
315,1.596,3.786,0,0.000,0,0,10,1,6.20,-0.805,-0.905,6.22,-0.027,7.10
315,1.433,4.241,0,0.000,0,0,10,1,5.59,-1.405,-1.505,6.22,-0.627,7.10
